,GameID,Game.AwayTeamStartingPitcherID,Game.HomeTeamStartingPitcherID,Game.PointSpread,Game.OverUnder,Game.AwayTeamMoneyLine,Game.HomeTeamMoneyLine
7,50929.0,10001203.0,10000850.0,-1.5,8.5,183.0,-195.0
8,50932.0,10005349.0,10005607.0,-1.5,8.0,235.0,-255.0
0,50937.0,10003325.0,10001631.0,1.5,9.5,-126.0,116.0
1,50948.0,10000153.0,10001064.0,1.5,8.5,106.0,-116.0
2,50941.0,10005337.0,10000931.0,-1.5,10.0,105.0,-115.0
3,50936.0,10005313.0,10001191.0,-1.5,8.5,-104.0,-106.0
4,50942.0,10000622.0,10006353.0,1.5,8.5,-111.0,101.0
5,50938.0,10000372.0,10000342.0,-1.5,9.0,122.0,-132.0
6,50949.0,10008667.0,10000981.0,-1.5,8.0,130.0,-140.0
7,50950.0,10000807.0,10005913.0,-1.5,8.0,173.0,-183.0
8,50945.0,10007041.0,10005835.0,-1.5,10.0,145.0,-155.0
9,50939.0,10005250.0,10001025.0,1.5,9.5,-130.0,120.0
10,50940.0,10001993.0,10000848.0,-1.5,8.5,137.0,-147.0
11,50947.0,10001353.0,10006172.0,-1.5,8.0,166.0,-176.0
12,50946.0,10000020.0,10003322.0,-1.5,7.5,-101.0,-109.0
13,50944.0,10001345.0,10002046.0,1.5,8.0,-109.0,-101.0
14,50943.0,10007434.0,10005288.0,-1.5,7.5,230.0,-250.0
0,50952.0,10001065.0,10000519.0,1.5,9.5,-136.0,126.0
1,50961.0,10000573.0,10000432.0,-1.5,8.5,185.0,-200.0
2,50960.0,10001031.0,10002058.0,-1.5,10.0,158.0,-168.0
3,50959.0,10000426.0,10000250.0,1.5,7.0,-160.0,150.0
4,50964.0,10000155.0,10001303.0,1.5,9.0,-142.0,132.0
5,50956.0,10000885.0,10001335.0,-1.5,9.5,-105.0,-105.0
6,50951.0,10005313.0,10001191.0,-1.5,8.5,102.0,-112.0
7,50953.0,10000193.0,10000328.0,-1.5,7.5,125.0,-135.0
8,50965.0,10003259.0,10001161.0,-1.5,8.5,124.0,-134.0
9,50954.0,10000371.0,10000189.0,1.5,8.5,-107.0,-103.0
10,50958.0,10008547.0,10000618.0,-1.5,7.0,330.0,-370.0
